date,river_discharge_x,river_discharge_mean,river_discharge_median,river_discharge_min,river_discharge_max,river_discharge_p25,river_discharge_p75,latitude,longitude,p1_mm,p6_mm,a72_mm,pp_max,sm_mean,et24_mm,p1_pct,p6_pct,a72_pct,pp_unit,sm_norm,et_deficit,river_discharge_y,rd_norm,H_score
2023-12-31,0.4927944,0.4927942,0.4927944,0.4927944,0.4927944,0.4927944,0.4927944,-30.02499771118164,-51.22499084472656,,,,,,,,,,,,,,,
2024-01-01,0.29717922,0.29717922,0.29717922,0.29717922,0.29717922,0.29717922,0.29717922,-30.02499771118164,-51.22499084472656,0.0,0.0,0.0,,,0.0,0.4270833333333333,0.40029761904761907,0.15922619047619047,,,1.0,0.29717922,0.41220238095238093,0.40476190476190477
2024-01-02,0.686553,1.080146,0.81972015,0.23310483,4.3703184,0.50671446,1.3831736,-30.02499771118164,-51.22499084472656,3.5999999046325684,4.0999999195337296,4.099999904632568,,,0.0,0.8616071428571429,0.7604166666666666,0.47619047619047616,,,1.0,0.686553,0.6547619047619048,0.7009858630952381
2024-01-03,0.46217716,0.9873234,0.7620181,0.38356638,3.4565625,0.56135213,1.2416635,-30.02499771118164,-51.22499084472656,2.299999952316284,3.7999999076128006,7.999999523162842,,,0.0,0.8199404761904762,0.75,0.5788690476190477,,,1.0,0.46217716,0.5446428571428571,0.710844494047619
2024-01-04,0.5848932,0.7640317,0.5381547,0.36772883,6.6032624,0.43468112,0.72589296,-30.02499771118164,-51.22499084472656,2.0999999046325684,3.5999999344348907,11.999999046325684,,,0.0,0.8080357142857143,0.7410714285714286,0.6577380952380952,,,1.0,0.5848932,0.6086309523809523,0.7392113095238096
2024-01-05,0.3273945,0.34263963,0.3273945,0.25892544,0.64058983,0.3273945,0.33659554,-30.02499771118164,-51.22499084472656,0.30000001192092896,0.6000000163912773,8.5,,,0.0,0.6011904761904762,0.5595238095238095,0.5863095238095238,,,1.0,0.3273945,0.44494047619047616,0.6138392857142857
2024-01-06,0.17219532,0.17219539,0.17219532,0.17219532,0.17219532,0.17219532,0.17219532,-30.02499771118164,-51.22499084472656,0.0,0.0,4.600000381469727,,,0.0,0.4270833333333333,0.40029761904761907,0.5044642857142857,,,1.0,0.17219532,0.27827380952380953,0.49590773809523814
2024-01-07,0.20226443,0.6585409,0.26629484,0.14024973,3.2072663,0.14024973,0.9176804,-30.02499771118164,-51.22499084472656,5.0,8.79999989271164,9.800000190734863,,,0.0,0.9017857142857143,0.8675595238095238,0.6205357142857143,,,1.0,0.20226443,0.31845238095238093,0.742559523809524
2024-01-08,1.741574,1.233746,1.1777617,0.1561122,5.441693,0.560544,1.6699362,-30.02499771118164,-51.22499084472656,1.7999999523162842,2.9999999552965164,12.300000190734863,,,0.0,0.7886904761904762,0.7261904761904762,0.6666666666666666,,,1.0,1.741574,0.8497023809523809,0.7650669642857142
2024-01-09,0.686553,0.7768505,0.686553,0.686553,1.4043629,0.686553,0.77736336,-30.02499771118164,-51.22499084472656,0.10000000149011612,0.20000000298023224,12.399999618530273,,,0.0,0.5193452380952381,0.48214285714285715,0.6711309523809523,,,1.0,0.686553,0.6547619047619048,0.6321614583333334
2024-01-10,0.10917485,0.20011486,0.10917485,0.10917485,3.0457587,0.10917485,0.10917485,-30.02499771118164,-51.22499084472656,0.0,0.0,3.200000047683716,,,0.0,0.4270833333333333,0.40029761904761907,0.4479166666666667,,,1.0,0.10917485,0.16815476190476192,0.4644717261904762
2024-01-11,0.5170504,1.9991513,1.5562534,0.23310483,6.6559663,1.0464447,3.0926065,-30.02499771118164,-51.22499084472656,2.9000000953674316,6.000000029802322,9.600000381469727,,,0.0,0.8377976190476191,0.8125,0.6175595238095238,,,1.0,0.5170504,0.5758928571428571,0.7486049107142857
2024-01-12,0.28233063,0.283204,0.28233063,0.28233063,0.29717922,0.28233063,0.28233063,-30.02499771118164,-51.22499084472656,0.20000000298023224,1.7000000178813934,10.5,,,0.0,0.5699404761904762,0.6666666666666666,0.6279761904761905,,,1.0,0.28233063,0.39880952380952384,0.6506696428571428
2024-01-13,0.40604758,0.40604773,0.40604758,0.40604758,0.40604758,0.40604758,0.40604758,-30.02499771118164,-51.22499084472656,0.0,0.0,10.5,,,0.0,0.4270833333333333,0.40029761904761907,0.6279761904761905,,,1.0,0.40604758,0.5074404761904762,0.5631510416666666
2024-01-14,0.4996848,0.82884383,0.60887873,0.23310483,2.4040818,0.31219995,1.143165,-30.02499771118164,-51.22499084472656,7.099999904632568,8.499999947845936,9.5,,,0.0,0.9479166666666666,0.8586309523809523,0.6145833333333334,,,1.0,0.4996848,0.5714285714285714,0.7752976190476191
2024-01-15,0.8113401,1.2530377,0.83457226,0.28233063,7.2413816,0.31984067,1.8560157,-30.02499771118164,-51.22499084472656,3.700000047683716,4.90000007301569,13.399999618530273,,,0.0,0.8690476190476191,0.7827380952380952,0.6934523809523809,,,1.0,0.8113401,0.6994047619047619,0.7823660714285715
2024-01-16,0.4859357,0.5326264,0.4859357,0.4859357,1.5644841,0.4859357,0.4859357,-30.02499771118164,-51.22499084472656,6.099999904632568,8.09999993443489,21.5,,,0.0,0.9270833333333334,0.8556547619047619,0.7991071428571429,,,1.0,0.4859357,0.5639880952380952,0.8284970238095237
2024-01-17,10.2719755,11.0863695,10.117435,4.260173,24.118862,8.573152,13.1367855,-30.02499771118164,-51.22499084472656,6.400000095367432,17.10000017285347,35.599998474121094,,,0.0,0.9360119047619048,0.9315476190476191,0.8928571428571429,,,1.0,10.2719755,0.9895833333333334,0.9358258928571429
