date,p1_mm,p6_mm,a72_mm,pp_max,sm_mean,et24_mm,p1_pct,p6_pct,a72_pct,pp_unit,sm_norm,et_deficit,river_discharge,rd_norm,H_score
2024-01-01,0.0,0.0,0.0,,,0.0,0.4270833333333333,0.40029761904761907,0.15922619047619047,,,1.0,0.29717922,0.41220238095238093,0.40476190476190477
2024-01-02,3.5999999046325684,4.0999999195337296,4.099999904632568,,,0.0,0.8616071428571429,0.7604166666666666,0.47619047619047616,,,1.0,0.686553,0.6547619047619048,0.7009858630952381
2024-01-03,2.299999952316284,3.7999999076128006,7.999999523162842,,,0.0,0.8199404761904762,0.75,0.5788690476190477,,,1.0,0.46217716,0.5446428571428571,0.710844494047619
2024-01-04,2.0999999046325684,3.5999999344348907,11.999999046325684,,,0.0,0.8080357142857143,0.7410714285714286,0.6577380952380952,,,1.0,0.5848932,0.6086309523809523,0.7392113095238096
2024-01-05,0.30000001192092896,0.6000000163912773,8.5,,,0.0,0.6011904761904762,0.5595238095238095,0.5863095238095238,,,1.0,0.3273945,0.44494047619047616,0.6138392857142857
2024-01-06,0.0,0.0,4.600000381469727,,,0.0,0.4270833333333333,0.40029761904761907,0.5044642857142857,,,1.0,0.17219532,0.27827380952380953,0.49590773809523814
2024-01-07,5.0,8.79999989271164,9.800000190734863,,,0.0,0.9017857142857143,0.8675595238095238,0.6205357142857143,,,1.0,0.20226443,0.31845238095238093,0.742559523809524
2024-01-08,1.7999999523162842,2.9999999552965164,12.300000190734863,,,0.0,0.7886904761904762,0.7261904761904762,0.6666666666666666,,,1.0,1.741574,0.8497023809523809,0.7650669642857142
2024-01-09,0.10000000149011612,0.20000000298023224,12.399999618530273,,,0.0,0.5193452380952381,0.48214285714285715,0.6711309523809523,,,1.0,0.686553,0.6547619047619048,0.6321614583333334
2024-01-10,0.0,0.0,3.200000047683716,,,0.0,0.4270833333333333,0.40029761904761907,0.4479166666666667,,,1.0,0.10917485,0.16815476190476192,0.4644717261904762
2024-01-11,2.9000000953674316,6.000000029802322,9.600000381469727,,,0.0,0.8377976190476191,0.8125,0.6175595238095238,,,1.0,0.5170504,0.5758928571428571,0.7486049107142857
2024-01-12,0.20000000298023224,1.7000000178813934,10.5,,,0.0,0.5699404761904762,0.6666666666666666,0.6279761904761905,,,1.0,0.28233063,0.39880952380952384,0.6506696428571428
2024-01-13,0.0,0.0,10.5,,,0.0,0.4270833333333333,0.40029761904761907,0.6279761904761905,,,1.0,0.40604758,0.5074404761904762,0.5631510416666666
2024-01-14,7.099999904632568,8.499999947845936,9.5,,,0.0,0.9479166666666666,0.8586309523809523,0.6145833333333334,,,1.0,0.4996848,0.5714285714285714,0.7752976190476191
2024-01-15,3.700000047683716,4.90000007301569,13.399999618530273,,,0.0,0.8690476190476191,0.7827380952380952,0.6934523809523809,,,1.0,0.8113401,0.6994047619047619,0.7823660714285715
2024-01-16,6.099999904632568,8.09999993443489,21.5,,,0.0,0.9270833333333334,0.8556547619047619,0.7991071428571429,,,1.0,0.4859357,0.5639880952380952,0.8284970238095237
2024-01-17,6.400000095367432,17.10000017285347,35.599998474121094,,,0.0,0.9360119047619048,0.9315476190476191,0.8928571428571429,,,1.0,10.2719755,0.9895833333333334,0.9358258928571429
2024-01-18,0.800000011920929,2.8000000342726707,34.900001525878906,,,0.0,0.7068452380952381,0.7232142857142857,0.8869047619047619,,,1.0,3.2953644,0.9226190476190477,0.831845238095238
2024-01-19,1.5,2.799999952316284,31.399999618530273,,,0.0,0.7604166666666666,0.7202380952380952,0.8690476190476191,,,1.0,0.92309177,0.7291666666666666,0.8078497023809524
2024-01-20,4.0,6.100000075995922,19.700000762939453,,,0.0,0.8809523809523809,0.8154761904761905,0.7886904761904762,,,1.0,2.2658782,0.8869047619047619,0.8472842261904762
2024-01-21,0.20000000298023224,0.7000000104308128,16.5,,,0.0,0.5699404761904762,0.5669642857142857,0.7529761904761905,,,1.0,0.8281002,0.7053571428571429,0.6968936011904763
2024-01-22,0.6000000238418579,1.1000000312924385,13.0,,,0.0,0.6770833333333334,0.6309523809523809,0.6845238095238095,,,1.0,0.3273945,0.44494047619047616,0.6763392857142857
2024-01-23,0.4000000059604645,0.9000000134110451,3.000000238418579,,,0.0,0.6324404761904762,0.5997023809523809,0.43452380952380953,,,1.0,0.23310483,0.35119047619047616,0.5711495535714286
2024-01-24,0.6000000238418579,1.8000000342726707,4.199999809265137,,,0.0,0.6770833333333334,0.6755952380952381,0.48660714285714285,,,1.0,0.17219532,0.27827380952380953,0.6076078869047619
2024-01-25,0.10000000149011612,0.10000000149011612,3.200000047683716,,,0.0,0.5193452380952381,0.44494047619047616,0.4479166666666667,,,1.0,0.14024973,0.22916666666666666,0.49758184523809523
2024-01-26,0.20000000298023224,0.5000000074505806,2.8000001907348633,,,0.0,0.5699404761904762,0.5476190476190477,0.4255952380952381,,,1.0,0.18850219,0.30505952380952384,0.5385044642857143
2024-01-27,0.30000001192092896,0.7000000178813934,1.600000023841858,,,0.0,0.6011904761904762,0.5729166666666666,0.3645833333333333,,,1.0,0.20226443,0.31845238095238093,0.5329241071428572
2024-01-28,7.400000095367432,10.200000017881393,12.500000953674316,,,0.0,0.9538690476190477,0.8764880952380952,0.6755952380952381,,,1.0,0.7823787,0.6889880952380952,0.8153831845238095
2024-01-29,1.7999999523162842,3.599999949336052,15.900001525878906,,,0.0,0.7886904761904762,0.7425595238095238,0.7380952380952381,,,1.0,0.7823787,0.6889880952380952,0.7724144345238095
